intent_name,support,tfidf_f1,tfidf_precision,tfidf_recall,distilbert_f1,distilbert_precision,distilbert_recall,qwen_f1,qwen_precision,qwen_recall,best_model,max_model_gap_pp
Refund_not_showing_up,40,0.9024,0.881,0.925,0.962,0.9744,0.95,0.9756,0.9524,1.0,qwen,7.32
card_payment_wrong_exchange_rate,40,0.8889,0.878,0.9,0.962,0.9744,0.95,0.962,0.9744,0.95,distilbert,7.31
cash_withdrawal_charge,40,0.9,0.9,0.9,0.962,0.9744,0.95,0.9136,0.9024,0.925,distilbert,6.2
card_linking,40,0.9286,0.8864,0.975,0.963,0.9512,0.975,0.9744,1.0,0.95,qwen,4.58
pending_cash_withdrawal,40,0.9487,0.9737,0.925,0.963,0.9512,0.975,0.95,0.95,0.95,distilbert,1.43
country_support,40,0.925,0.925,0.925,0.9639,0.9302,1.0,0.9524,0.9091,1.0,distilbert,3.89
transaction_charged_twice,40,0.9524,0.9091,1.0,0.9639,0.9302,1.0,0.9639,0.9302,1.0,distilbert,1.15
top_up_limits,40,0.9157,0.8837,0.95,0.975,0.975,0.975,1.0,1.0,1.0,qwen,8.43
get_physical_card,40,0.8837,0.8261,0.95,0.9756,0.9524,1.0,0.9756,0.9524,1.0,distilbert,9.19
activate_my_card,40,0.9744,1.0,0.95,0.9873,1.0,0.975,0.9744,1.0,0.95,distilbert,1.29
age_limit,40,1.0,1.0,1.0,0.9873,1.0,0.975,0.9873,1.0,0.975,tfidf,1.27
lost_or_stolen_phone,40,0.9873,1.0,0.975,0.9873,1.0,0.975,0.975,0.975,0.975,distilbert,1.23
card_about_to_expire,40,0.9639,0.9302,1.0,0.9877,0.9756,1.0,0.9744,1.0,0.95,distilbert,2.38
edit_personal_details,40,0.9877,0.9756,1.0,0.9877,0.9756,1.0,0.975,0.975,0.975,distilbert,1.27
apple_pay_or_google_pay,40,0.975,0.975,0.975,1.0,1.0,1.0,1.0,1.0,1.0,distilbert,2.5
atm_support,39,0.8378,0.8857,0.7949,1.0,1.0,1.0,1.0,1.0,1.0,distilbert,16.22
passcode_forgotten,40,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.95,distilbert,5.0
verify_source_of_funds,40,0.9412,0.8889,1.0,1.0,1.0,1.0,0.963,0.9512,0.975,distilbert,5.88
verify_top_up,40,0.9877,0.9756,1.0,1.0,1.0,1.0,0.9877,0.9756,1.0,distilbert,1.23
